epoch,kWh
1779802200,0.283
1779804000,0.319
1779805800,0.16
1779807600,0.162
1779809400,0.163
1779811200,0.723
1779813000,0.408
1779814800,0.306
1779816600,0.266
1779818400,0.18
1779820200,0.149
1779822000,0.147
1779823800,0.119
1779825600,0.286
1779827400,0.473
1779829200,0.245
1779831000,0.218
1779832800,0.342
1779834600,0.268
1779836400,0.222
1779838200,0.218
1779840000,0.217
1779841800,0.221
1779843600,0.212
1779845400,0.168
1779847200,0.165
1779849000,0.159
1779850800,0.147
1779852600,0.139
1779854400,0.099
1779856200,0.086
1779858000,0.094
1779859800,0.093
1779861600,0.091
1779863400,0.091
1779865200,0.093
1779867000,0.14
1779868800,0.32
1779870600,0.293
1779872400,0.152
1779874200,0.143
1779876000,0.169
1779877800,0.153
1779879600,0.151
1779881400,0.137
1779883200,0.122
1779885000,0.137
1779886800,0.102
1779888600,0.097
1779890400,0.081
1779892200,0.637
1779894000,1.172
1779895800,0.717
1779897600,0.686
1779899400,0.256
1779901200,0.201
1779903000,0.258
1779904800,0.198
1779906600,0.219
1779908400,0.177
1779910200,0.195
1779912000,0.23
1779913800,0.212
1779915600,0.21
1779917400,0.21
1779919200,0.263
1779921000,1.2
1779922800,0.542
1779924600,0.145
1779926400,0.228
1779928200,0.232
1779930000,0.262
1779931800,0.212
1779933600,0.184
1779935400,0.182
1779937200,0.181
1779939000,0.163
1779940800,0.111
1779942600,0.111
1779944400,0.07
1779946200,0.132
1779948000,0.069
1779949800,0.066
1779951600,0.089
1779953400,0.119
1779955200,0.137
1779957000,0.1
1779958800,0.093
1779960600,0.08
1779962400,0.081
1779964200,0.08
1779966000,0.182
1779967800,0.101
1779969600,0.098
1779971400,0.094
1779973200,0.081
1779975000,0.083
1779976800,0.112
1779978600,0.137
1779980400,0.153
1779982200,0.153
1779984000,0.159
1779985800,0.188
1779987600,0.228
1779989400,0.166
1779991200,0.171
1779993000,0.224
1779994800,0.241
1779996600,0.293
1779998400,0.789
1780000200,0.672
1780002000,0.222
1780003800,0.21
1780005600,0.193
1780007400,0.197
1780009200,0.175
1780011000,0.148
1780012800,0.118
1780014600,0.089
1780016400,0.087
1780018200,0.088
1780020000,0.091
1780021800,0.094
1780023600,0.11
1780025400,0.1
1780027200,0.076
1780029000,0.085
1780030800,0.1
1780032600,0.086
1780034400,0.149
1780036200,0.087
1780038000,0.085
1780039800,0.085
1780041600,0.08
1780043400,0.164
1780045200,0.09
1780047000,0.096
1780048800,0.092
1780050600,0.754
1780052400,0.424
1780054200,0.299
1780056000,0.227
1780057800,0.54
1780059600,0.793
1780061400,0.386
1780063200,0.249
1780065000,0.207
1780066800,1.067
1780068600,0.747
1780070400,0.212
1780072200,0.204
1780074000,0.343
1780075800,0.253
1780077600,0.139
1780079400,0.126
1780081200,0.147
1780083000,0.4
1780084800,0.879
1780086600,0.411
1780088400,0.353
1780090200,0.62
1780092000,0.293
1780093800,0.273
1780095600,0.264
1780097400,0.252
1780099200,0.246
1780101000,0.492
1780102800,0.194
1780104600,0.19
1780106400,0.188
1780108200,0.19
1780110000,0.189
1780111800,0.177
1780113600,0.15
1780115400,0.151
1780117200,0.158
1780119000,0.144
1780120800,0.061
1780122600,0.054
1780124400,0.055
1780126200,0.055
1780128000,0.055
1780129800,0.705
1780131600,0.593
1780133400,0.242
1780135200,0.151
1780137000,0.353
1780138800,0.385
1780140600,0.155
1780142400,0.13
1780144200,0.133
1780146000,0.202
1780147800,0.129
1780149600,0.135
1780151400,0.136
1780153200,0.134
1780155000,0.135
1780156800,0.158
1780158600,0.151
1780160400,0.506
1780162200,0.345
1780164000,0.15
1780165800,0.136
1780167600,0.127
1780169400,0.136
1780171200,0.171
1780173000,0.185
1780174800,0.186
1780176600,0.19
1780178400,0.255
1780180200,0.234
1780182000,0.236
1780183800,0.218
1780185600,0.214
1780187400,0.212
1780189200,0.213
1780191000,0.213
1780192800,0.2
1780194600,0.212
1780196400,0.237
1780198200,0.218
1780200000,0.207
1780201800,0.206
1780203600,0.206
1780205400,0.247
1780207200,0.251
1780209000,0.212
1780210800,0.199
1780212600,0.192
1780214400,0.19
1780216200,0.193
1780218000,0.194
1780219800,0.193
1780221600,0.227
1780223400,0.25
1780225200,0.292
1780227000,0.227
1780228800,0.189
1780230600,0.163
1780232400,0.163
1780234200,0.165
1780236000,0.183
1780237800,0.161
1780239600,0.161
1780241400,0.175
1780243200,0.187
1780245000,0.184
1780246800,0.184
1780248600,0.252
1780250400,0.437
1780252200,0.158
1780254000,0.341
1780255800,0.186
1780257600,0.199
1780259400,0.186
1780261200,0.192
1780263000,0.893
1780264800,0.203
1780266600,0.134
1780268400,0.115
1780270200,0.089
1780272000,0.106
1780273800,0.127
1780275600,0.128
1780277400,0.148
1780279200,0.292
1780281000,0.215
1780282800,1.064
1780284600,0.872
1780286400,0.134
1780288200,0.133
1780290000,0.132
1780291800,0.132
1780293600,0.131
1780295400,0.114
1780297200,0.08
1780299000,0.109
1780300800,0.08
1780302600,0.046
1780304400,0.081
1780306200,1.381
1780308000,0.34
1780309800,0.098
1780311600,0.098
1780313400,0.268
1780315200,0.146
1780317000,0.116
1780318800,0.194
1780320600,0.135
1780322400,0.134
1780324200,0.15
1780326000,0.222
1780327800,0.525
1780329600,0.753
1780331400,0.161
1780333200,0.209
1780335000,0.16
1780336800,0.152
1780338600,0.494
1780340400,1.033
1780342200,0.47
1780344000,0.291
1780345800,0.287
1780347600,0.252
